客家汉字,Hakka Pronunciation,Chinese definition,English Definition
燒焓焓,sau1 hem2 hem2,（物件或者人體發燒）非常熱。,Very hot (of an object or a fevered body).
燒熝熝,sau1 luk6 luk6,（物件）非常熱（可以燙到人）。,Scalding hot (of an object; hot enough to burn).
澀攲攲,sep5 kia2 kia2,（物體表面）非常澀，不平滑。,Very rough and uneven (of a surface); very astringent.
瘦蜢蜢,seu4 mang1 mang1,（人或者家畜）非常瘦。,Extremely thin and scrawny (of a person or animal).
腥瘟瘟,siang1 vin1 vin1,（魚）非常腥。,Extremely fishy-smelling (of fish).
新橫橫,sin1 vang4 vang4,非常新，又作“橫新”。,Brand new. Also 橫新.
濕溚溚,sip5 dap5 dap5,水分多到流出來。,Soaking wet; water dripping off.
實澤澤,sit6 dak6 dak6,很堅實。,Very solid and firm.
羞毛毛,siu1 mau1 mau1,感到很羞恥。,Feeling very ashamed or embarrassed.
酸丟丟,son1 diu2 diu2,（食物、水果）非常酸。,(Of food or fruit) extremely sour.
甜津津,tiam2 zin1 zin1,非常甜（正面評價）。,Very sweet (positive connotation).
甜唧唧,tiam2 zit6 zit6,非常甜（負面評價）。,Very sweet (negative connotation; cloyingly sweet).
淡節節,tam1 ziet6 ziet6,（食物）沒有味道。,(Of food) completely tasteless.
滑潺潺,vat6 can2 can2,上面有粘液而非常滑（令人不快）。,Slimy and slippery (unpleasantly slippery due to mucus).
滑突突,vat6 tut6 tut6,（物件、皮膚）非常滑，又作滑律律。,Very smooth and slippery (of an object or skin). Also 滑律律.
滑律律,vat6 lut6 lut6,（物件、皮膚）非常滑，又作滑突突。,Very smooth and slippery. Also 滑突突.
滑亮亮,vat6 liang4 liang4,非常滑而光亮。,Smooth and shiny; sleek.
涴當當,vo4 dong2 dong2,（食品等）非常柔軟，像豆腐腦一樣的質地。,"Extremely soft, like tofu jelly in texture (of food)."
黃極極,vong2 git6 git6,（皮膚、臉色不健康）非常黃。,(Of skin or complexion) unhealthily yellow.
黃貢貢,vong2 gung4 gung4,（物件）非常黃。,(Of an object) very yellow.
烏澤澤,vu1 dak6 dak6,形容膚色非常黑而健康。,"A very dark, healthy-looking skin tone."
烏黷黷,vu1 du4 du4,（物件）非常黑（沒有正面或者負面評價）。,(Of an object) very black (neutral).
烏臊臊,vu1 sau1 sau1,（物件）非常黑（負面評價）。,(Of an object) very black (negative connotation).
烏律律,vu1 lut5 lut5,（物件）非常黑（正面評價）。,(Of an object) very black (positive connotation).
夭蕩蕩,yau1 dong2 dong2,（食品等）非常軟。,(Of food) very soft and tender.
圓丁丁,yen2 din1 din1,非常圓（好看），又作圓啲啲。,Very round (attractively round). Also 圓啲啲.
圓啲啲,yen2 dit5 dit5,非常圓（好看），又作圓丁丁。,Very round (attractively round). Also 圓丁丁.
圓愷愷,yen2 kai2 kai2,圓鼓鼓（負面）。,Rounded and puffy (negative – of a face).
圓昆昆,yen2 kun1 kun1,圓鼓鼓（中性或者負面）。,Round and bulging (neutral or negative).
幼末末,yiu4 mat6 mat6,（棍子等）很細，不中用。,(Of a stick etc.) extremely thin and weak; flimsy.
燥麥麥,zau1 mak6 mak6,（食物）水分很少。,(Of food) very dry and lacking moisture.
漲不不,zong4 but6 but6,漲起來很飽滿。 另外，客家話有些熟語是身體部位A加上形容詞或動詞性B組成的ABB形式，造成修飾詞放在後面。這些結構部分與普通話和其他方言相同，可以互相借用，而且能產性很高，下面是常見的詞語：,Plumply inflated; full and round.
肚嘓嘓,du3 get6 get6,肚子隆起，吃飽、懷孕或者肥胖的樣子。,"Belly bulging – from being full, pregnant, or obese."
肚刺刺,du3 ciak5 ciak5,肚子痛得很厲害。,Stomach hurting very badly; sharp stomach pains.
腳長長,giok5 cong2 cong2,腳很長。,Very long legs.
腳扡扡,giok5 ya3 ya3,（一般指家禽或昆蟲死後）腳伸出來。,(Of poultry or insects after death) legs spread out stiffly.
毛長長,mau1 cong2 cong2,頭髮或者身上的毛很長的樣子。,Very long hair or fur.
毛茸茸,mau1 yung2 yung2,身上很多毛的樣子。,Very fluffy; covered in fur or fine hair.
面罌罌,mien4 ang1 ang1,臉型很大（不好看）。,Having a very large face (unattractive).
面臭臭,mien4 ciu4 ciu4,給臉色別人看。,Giving someone a dirty look; wearing an unfriendly expression.
面熟熟,mien4 suk6 suk6,很面熟。,Very familiar-looking; feels like you've seen them before.
尾釘釘,mui1 dang1 dang1,尾巴豎起來。,Tail raised and erect.
尾嚲嚲,mui1 to2 to2$,尾巴墜下去。,Tail drooping downward.
牙射射,nga2 sa1 sa1,齙牙的樣子。,Teeth sticking out; buck-toothed appearance.
牙豺豺,nga2 sai2 sai2,（狗或兇猛動物）露出牙齒很兇的樣子。,(Of a dog or fierce animal) teeth bared in an aggressive snarl.
牙西西,nga2 si1 si1,笑容很好，經常露出牙齒。,"Always smiling broadly, often showing teeth; having a pleasant, toothy smile."
眼深深,ngan3 cim1 cim1,眼睛長得很深。,Very deep-set eyes.
眼花花,ngan3 fa1 fa1,眼睛看不清楚。,Eyes unable to see clearly; blurry vision.
眼反反,ngan3 fan1 fan1,用不禮貌的目光看人。“反”聲調為陽平。,Giving someone a rude upward glance. (反 = level rising tone)
眼金金,ngan3 gim1 gim1,目不轉睛地盯着。,Staring fixedly without blinking; eyes wide and focused.
眼白白,ngan3 pak6 pak6,眼睛翻白，失望的樣子。,Eyes rolled back; a look of disappointment or exasperation.
眼定定,ngan3 tin4 tin4,眼睛盯着一個方向，目不轉睛。,Eyes fixed in one direction; staring blankly.
耳翹翹,ngi3 hiok5 hiok5,耳朵豎起來的樣子，指很留心聽。,Ears pricked up; listening very attentively.
肉卒卒,ngiuk5 zut5 zut5,很豐滿，滿身是肉。,Very plump; full of flesh; well-padded.
鼻扁扁,pi4 bien3 bien3,鼻子很扁的樣子。,A very flat nose.
手多多,siu3 do1 do1,一時控制不了出了手。,Unable to keep one's hands to oneself; impulsively reaching out.
頭刺刺,teu2 ciak5 ciak5,頭痛得很厲害。,Severe headache; head throbbing with pain.
頭親親,teu2 cin1 cin1,垂頭喪氣。又作頭犁犁。,Hanging one's head dejectedly; crestfallen. Also 頭犁犁.
頭重重,teu2 cung1 cung1,有點頭暈的感覺。,Feeling heavy-headed; slightly dizzy.
頭犁犁,teu2 lai2 lai2,垂頭喪氣。又作頭親親。,Hanging one's head dejectedly. Also 頭親親.
翼披披,yit6 pia3 pia3,雞鴨等禽鳥生病導致雙腿沒力氣，於是伸開翅膀來支撐身體，造成翅膀散開的樣子。 少量是動詞加補語的形式：,Wings spread open and drooping (of a sick bird). Describes the posture of a diseased chicken using its wings as supports.
企釘釘,ki1 dang1 dang1,站着不動。,Standing perfectly still; rooted to the spot.
生咬咬,sang1 ngau1 ngau1,活生生。,Alive and kicking; living and breathing.
死咕咕,si3 gu3 gu3,一點都不靈活。,Completely lifeless and rigid; not at all lively or flexible.
罯罯仆,am3 am3 puk5,趴着來睡覺的姿勢。,Sleeping face-down; lying prone.
奮奮掙,bin3 bin3 zang4,掙扎得很激烈。,Struggling frantically; writhing vigorously.
播播跢,bo4 bo4 doi1,頻繁地跌到（一般指小孩或老人）。,Falling over repeatedly (usually of a small child or elderly person).
餔餔跌,bot5 bot5 diet5,一塊一塊地掉下來。,Falling off in chunks; crumbling away piece by piece.
釘釘企,dang1 dang1 ki1,站着不動。,Standing stock-still; motionless.
丁丁轉,din1 din1 zon3$,四週（圍一個圈）。,Going around in a circle; all around (in a ring).
啲啲轉,dit5 dit5 zon3,繞圈。,Spinning in a circle; going round and round.
滴滴懟,dit6 dit6 dui3,傷口的痛處，好像有人用力拉一樣。,"A throbbing pain at a wound, as if being pulled."
踱踱跪,dok6 dok6 kui3,用力跪下（賠罪）。,Kneeling down firmly (to beg forgiveness or apology).
揮揮走,fui1 fui1 zeu3,（薄荷等食物）讓舌頭清涼的味道。,"A cool, minty sensation on the tongue (from mint etc.)."
卷卷皺,gien3 gien3 ziu4,捲起來。,Rolling up; curling.
極極震,git6 git6 zun1,因為寒冷或驚怕而發抖。,Shivering or trembling (from cold or fear).
笠笠翻,lap5 lap5 fan1,剛好反過來。客家話流行有《笠翻歌》。,Flipping over exactly; turning right upside down. The Hakka 《笠翻歌》 (Flip-Over Song) is well known.
雅雅叫,nga3 nga3 giau4,叫聲很難聽。,"Making an unpleasant, harsh sound when calling out."
拈拈動,ngiam1 ngiam1 tung1,搖搖欲墜。,Shaking unsteadily; on the verge of falling; wobbling.
扭扭轉,ngiu3 ngiu3 zon3,螺旋。,Spiraling; in a spiral/helix.
愕愕到,ngok6 ngok6 dau4,不知就裏、不知所措的窘態。,At a loss; bewildered; not knowing what to do.
生生震,sang3 sang3 zun1,發抖得很厲害，比極極震嚴重。,Shaking violently (more severe than 極極震).
廷廷跳,tin2 tin2 tiau2,跳來跳去。,Jumping and leaping around; bouncing.
